Community,"Population Count","Average Income ($)","Median Income ($)"
Arbutus-Ridge,"15,295",62675,30929
Downtown,"62,030",63251,41858
Dunbar-Southlands,"21,425",78117,40463
Fairview,"33,620",61627,46940
Grandview-Woodland,"29,175",42896,32438
Hastings-Sunrise,"34,575",38258,27255
"Kensington-Cedar Cottage","49,325",38411,28356
Kerrisdale,"13,975",77248,35064
Killarney,"29,325",39013,29259
Kitsilano,"43,045",63092,44084
Marpole,"24,460",39020,26787
"Mount Pleasant","32,955",54260,42362
Oakridge,"13,030",46515,26695
Renfrew-Collingwood,"51,530",33360,25476
"Riley Park","22,555",53060,37327
Shaughnessy,"8,430",118668,44392
"South Cambie","7,970",65459,42094
Strathcona,"12,585",31534,17631
Sunset,"36,500",34212,25498
Victoria-Fraserview,"31,065",34298,24758
"West End","47,200",47253,36425
"West Point Grey","13,065",82042,40304
Vancouver_City_Total,"631,485",50317,32896
Vancouver_CMA_Total,"2,463,430",46821,32575
